Headlines,Time,Description
Cramer's lightning round: I'm very concerned about Veru," 7:46  PM ET Fri,  6 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Chart Industries is not a buy," 7:43  PM ET Thu,  5 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's lighting round: Stay away from Blackline," 7:33  PM ET Wed,  4 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lighting round: Capital One is a tough stock to own going into a slowdown," 7:48  PM ET Tue,  3 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I love Eagle Materials," 7:46  PM ET Fri, 23 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Teladoc Health is not a good situation," 7:15  PM ET Thu, 22 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I prefer Pioneer Natural Resources over Laredo Petroleum," 7:20  PM ET Wed, 21 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lighting round: Magna worries me," 7:34  PM ET Tue, 20 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's lightning round: M&T Bank is a very well-run stock,"11:00  PM ET Mon, 19 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Lucid Group is too dangerous to own here," 7:06  PM ET Fri, 16 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: You can pick up some shares of IBM on Friday," 7:39  PM ET Thu, 15 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I wouldn't buy World Wrestling Entertainment at this level," 7:25  PM ET Wed, 14 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lighting round: I like J.M. Smucker over Church & Dwight," 7:55  PM ET Tue, 13 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lighting round: I like Danaher over Philips," 7:26  PM ET Mon, 12 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Alphabet is not making enough money," 7:40  PM ET Fri,  9 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Carvana is not a buy," 7:40  PM ET Thu,  8 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: AGNC Investment is not a buy," 7:19  PM ET Wed,  7 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I like Advanced Micro Devices over Micron," 7:55  PM ET Tue,  6 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I can't recommend Penn Entertainment right now," 7:58  PM ET Mon,  5 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Let Extreme Networks cool off a little before buying," 7:44  PM ET Fri,  2 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Seagate is not for this market," 7:22  PM ET Thu,  1 Dec 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Crestwood Equity is a dynamite stock," 8:02  PM ET Wed, 30 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's lightning round: I like Morgan Stanley over SoFi Technologies," 7:42  PM ET Tue, 29 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Enphase Energy is a buy," 7:30  PM ET Mon, 28 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I still see another bad quarter ahead for Ford Motor," 7:39  PM ET Tue, 22 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: You ought to pass on Medical Properties Trust," 7:39  PM ET Mon, 21 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's lightning round: AST SpaceMobile is an exciting thing, not a stock"," 7:31  PM ET Fri, 18 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: BioXcel Therapeutics may be home run or nothing," 7:18  PM ET Thu, 17 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's lightning round: Uber is going to be the last man standing," 6:54  PM ET Wed, 16 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: BRC Inc is not a buy," 7:50  PM ET Tue, 15 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Plug Power must get expenses under control," 7:30  PM ET Mon, 14 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Booz Allen is a buy," 7:07  PM ET Fri, 11 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I no longer advocate that you should sell Activision Blizzard," 8:13  PM ET Thu, 10 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Northern Oil and Gas is not a buy," 7:28  PM ET Wed,  9 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Palantir is a sell," 7:16  PM ET Tue,  8 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I think Tesla is a decent situation," 7:10  PM ET Mon,  7 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Cano Health is a buy," 6:58  PM ET Fri,  4 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I'm sticking with Nvidia," 7:13  PM ET Thu,  3 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I don't want to own Taiwan Semiconductor," 8:02  PM ET Wed,  2 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Manulife is not a buy," 7:01  PM ET Tue,  1 Nov 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Riot Blockchain is not a buy," 7:29  PM ET Mon, 31 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Let's stay with Frontier," 7:37  PM ET Fri, 28 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's lightning round: Stay with Vertex Pharmaceuticals," 7:09  PM ET Thu, 27 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Lucid Group is losing too much money," 7:31  PM ET Wed, 26 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round includes a fintech 'on the road to redemption'," 6:42  PM ET Tue, 25 Oct 2022",It's that time again: Jim Cramer's lightning round.
Cramer's lightning round: I can't recommend Icahn Enterprises," 7:24  PM ET Mon, 24 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I like Procter & Gamble over Walmart," 7:48  PM ET Fri, 21 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: State Street is a buy," 7:51  PM ET Thu, 20 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's lightning round: I like Procter & Gamble over Kimberly-Clark," 6:57  PM ET Wed, 19 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Stay long on CF Industries," 7:07  PM ET Tue, 18 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Wait for Texas Roadhouse to come down," 6:59  PM ET Mon, 17 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I'm sticking by Intuitive Surgical," 7:00  PM ET Fri, 14 Oct 2022","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
